,headline,is_sarcastic
117,changing residency standards attack student voters,0
118,two thumbs down on air nonsense,0
119,facebook friend apparently dead now,1
120,getting up close to homophobia,0
121,walnuts improve area chicken salad,1
122,the bitcoin hoax,0
123,30th anniversary of 1973 commemorated,1
124,new orleans struck by meteorite,1
125,8 lessons for life while traveling,0
126,congressional authorization,0
127,porch ceded to bats,1
128,the room i carry with me,0
129,creating black futures within the present,0
130,watch: 2014 bet awards performances,0
131,the truth about being 40,0
132,sports banquet ends in trophy fight,1
133,15 shot in chicago on sunday,0
134,to hope again,0
135,japan spotted hovering over algeria,1
136,report: this not a gun,1
137,dog keeps iceland awake all night,1
138,conservative acquaintance annoyingly not racist,1
139,compliment goes horribly awry,1
140,successories poster shoplifted,1
141,belt looks weird on child,1
142,the magical turpan,0
143,trump campaign ponders going negative,1
144,"no thank you, trump america",0
145,"no work, no justice",0
146,8 ways fitness changed my life,0
147,area teen accidentally enters teen center,1
148,magnetic migration,0
149,local oafs to spawn,1
150,beware the bumbler,0
151,area pie hole shut,1
152,the middle east after isis,0
153,naïve detective suspects fair play,1
154,chris christie's strange justice,0
155,temporary worker permanently scarred,1
156,surgery required for new sexual position,1
157,scott walker is missing!,0
158,family upgrades to shells & cheese,1
159,inflating the russian threat,0
160,when sex work pays your tuition,0
161,taylor swift calls out celebrity culture,0
162,patiently waiting (sort of),0
163,new endangered species: deficit hawk,0
164,the paradox of addiction,0
165,the american cult of bombing,0
166,website humiliating itself,1
167,celebrity collector: alison sweeney,0
168,fountain simulates vomiting lion,1
169,date line,1
170,tv guide channel tops nielsens,1
171,savings passed on to local woman,1
172,"cult leader pretty cool, actually",1
173,cherishing every moment is hard,0
174,bathroom too disgusting to shit in,1
175,alcoholic recovered,1
176,god shoots himself while cleaning gun,1
177,clinton's sight restored,1
178,this adulting thing is hard,0
179,how to connect with others,0
180,hero publicist honored,1
181,clean machine,0
182,kiss with wife pretty good,1
183,bb and me: emotional intelligence,0
184,5 faith facts about chris christie,0
185,lone gunman enters crowded restaurant,1
186,guitar music fad runs course,1
187,hubris rewarded,1
188,is american democracy doomed?,0
189,remembering high school,0
190,shredding the past,0
191,degrees not debt,0
192,the united base of america,0
193,michelangelo's david updated,1
194,alcohol-themed bar opens,1
195,fox news channel adds laugh track,1
196,thai dish apparently costs 3 peppers,1
197,beijing air solidifies,1
198,'acting white',0
199,too much expected from nap,1
200,woman feels guilty after switching brands,1
201,10 worst states for business,0
202,the christian closet,0
203,naked leadership,0
204,why are you eating?,0
205,the struggle to fit in,0
206,jamie crying,1
207,a letter to my teenage daughter,0
208,local youth to insert coin,1
209,7 strategies for lasting fat loss,0
210,michelin introduces tires for women,1
211,pumpkin clearly had finger in it,1
212,true north at southwest airlines,0
213,playing monopoly with our lives,0
214,a litany of thanksgiving,0
215,visa fires bob dole,1
216,getting totally bushed,0
217,loft discussed at loft party,1
218,nine rules for effective online content,0
219,10 qualities of your inner spirit,0
220,brutal reality check turns three,1
221,stop hating trump voters,0
222,horse dies in freak highway accident,0
223,male bonding leads to bail bonding,1
224,mario cuomo's legacy,0
225,araa kayboard bustad,1
226,the thing about horses,0
227,german fairy tale ends predictably,1
228,fear is just one big joke,0
229,nepal calls: part three,0
230,breaking: lovers lost in fog,1
231,the family talisman,0
232,suicide note surprisingly upbeat,1
233,fall of inversions,0
234,turkish man kiss you,1
235,co-op casino robbed again,1
236,personal assistant called after scary dream,1
237,timeout or burnout,0
238,magazine correctly judged by its cover,1
239,yorkshire terrier monogrammed,1
240,monster truck escapes,1
241,apparently werewolf was allergic to peanuts,1
242,world war iii with china,0
243,advancing the world's women,0
244,astronomers discover extremely graphic galaxy,1
245,earliest known t-shirt found,1
246,change in bus seats taken personally,1
247,new therapist obsessed with old therapist,1
248,awful show a repeat again,1
249,local man casually mentions upcoming birthday,1
250,weak little man asks for help,1
251,world meets premiere,0
252,the presidency and moral courage,0
253,22 animals wearing pajamas just because,0
254,history teacher has unusual favorite president,1
255,pregnant woman glows with rage,1
256,finding unique accommodations around the world,0
257,a test for chronic fatigue syndrome,0
258,leave no person with disabilities behind,0
259,exercise briefly considered,1
260,why thanking god is hurtful,0
261,bill cosby feeling better now,1
262,heimlich demands maneuver royalties,1
263,shanghai family sick of eating chinese,1
264,fifth tool discovered,1
265,sixty seconds of art,0
266,the intrinsic value of liberal education,0
267,area russian to hug you,1
268,the importance of trying,0
269,monster got tina,1
270,local building too wheelchair-friendly,1
271,sheets changed after every breakup,1
272,a simple experiment in empathy,0
273,347 locals identify slain prostitute,1
274,king lear and the silver tsunami,0
275,rest of kickline out sick,1
276,congress raises killing age to 19,1
277,psychic fall cometh!,0
278,area man killed in committee,1
279,sunday roudup,0
280,presidential candidates react to paris attacks,0
281,silencing milo,0
282,baby takes political stance,1
283,fbi raids fridge,1
284,nasa launches first cordless satellite,1
285,daily meditation: mantra,0
286,parents really enjoying cruise,1
287,everyone in motorcycle gang jewish,1
288,mom in nightgown mode,1
289,i'll tell them,0
290,when our tears become medicine,0
291,princess slays the knight,0
292,facebook in real life: politics,0
293,area man likes food,1
294,new envelope pushes envelope envelope,1
295,enraged man unable to break tv,1
296,does political correctness work?,0
297,deer shot by obsessed fan,1
298,scientists discover portal to outside world,1
299,nation ready for its din din,1
300,the great vanishing,0
301,man intensely public,1
302,puppy love leads to human baby,1
303,this time to be different,1
304,5 single parent dating tips,0
305,sunday roundup,0
306,yak chews thoughtfully,1
307,texas attorney general ken paxton indicted,0
308,singing the methane blues,0
309,mit should do better,0
310,faith: 20 years strong,0
311,pit bull lovers gather in washington,0
312,brotherly advice,0
313,"not beaten, bound or broken",0
314,voice recognition software yelled at,1
315,medicalert bracelet iced out,1
316,dysfunctional family statistically average,1
317,po' boy $12,1
318,would jesus accept climate science?,0
319,ride mis-pimped,1
320,parents into new snack now,1
321,governor pardons self for living,1
322,pope wins host-eating contest,1
323,trump pardons?,0
324,3 secrets for increasing your happiness,0
325,independence day,0
326,bathroom smells like shit,1
327,cia headquarters disappears,1
328,afi docs fest wraps up,0
329,smooth operator also forklift operator,1
330,diy: sports equipment closet,0
331,local audience deemed 'great',1
332,jesus was a socialist,0
333,shaky ukrainian ceasefire largely holds,0
334,violinist sick of doing mozart covers,1
335,freemasons return to jupiter,1
336,the importance of vision,0
337,rare shark accidentally caught by fisherman,0
338,the new new net neutrality,0
339,the politics of presidential dieting,0
340,experimental band theoretically good,1
341,family embarrassed by way son died,1
342,empty beer bottle released into wild,1
343,another fond childhood memory destroyed,1
344,tom snyder returns to the sea,1
345,cricket located,1
346,lots of parents know this scenario,0
347,aurora releases theater shooting response report,0
348,tape dispensed,1
349,minnesota state fair in posters,0
350,woman constantly treating herself for once,1
351,florist saves abusive relationship,1
352,acknowledging our shared history,0
353,merle haggard haggard,1
354,actual proctor met at party,1
355,imaginary brain tumor spreading rapidly,1
356,"restaurant, staff patronized",1
357,world's youngest person born,1
358,sports section tragically missing,1
359,mit researchers discover each other,1
360,just area man's luck,1
361,whole plant eating: squash seeds,0
362,employer totally botches job interview,1
363,philippine mud wins in landslide,1
364,tesla debuts carless driver,1
365,area man reduced to this,1
366,when smart lawyers say dumb things,0
367,report: sky normal today,1
368,first family gets pet asp,1
369,is democracy sick?,0
370,fda approves new pasta shape,1
371,the fakebook inside facebook,0
372,obama weighing his syria option,1
373,breaking: congressmen walking somewhere,1
374,economic stimulus check burned for warmth,1
375,the king of credit card fraud,0
376,cheney clotheslines aide,1
377,protesters ignored,1
378,felipe the bastard king,0
379,leonard cohen at 80,0
380,text message a bit curt,1
381,congress spotted leaving gay nightclub,1
382,40 years on the fence,0
383,nasa inadvertently launches unmanned space shuttle,1
384,author to use water as metaphor,1
385,sexism in the kitchen,0
386,who defines president trump?,0
387,sudanese elephant trying to forget,1
388,remembering lynn walker huntley,0
389,escape from falluja,0
390,report: nobody fucking cares,1
391,puerto rico celebrates dependence day,1
392,"cheer up, democrats",0
393,ex-girlfriend making huge mistake,1
394,spring skiing in southern vermont,0
395,charlton heston gets serious,1
396,christmas pageant enters pre-production,1
397,mom learns about new vegetable,1
398,the downside of the boom,0
399,joan rivers remembered,0
400,al gore gets to third,1
401,last remaining novelist dies in captivity,1
402,flat soda,0
403,in the heights,0
404,trump holds third real press conference,0
405,freedom with a twist of maturity,0
406,clinton can win 45 states,0
407,linebacker faces suspension for genocide,1
408,reality show slowly sinks in,1
409,how the giants collapsed,0
410,establishment rallies 'round rubio,0
411,root beer float ice cream,0
412,3 ways to boost your empathy,0
413,new device converts grass to meat,1
414,eric cantor's new job,0
415,skeleton crew makes its move,0
416,what i wish for my daughter,0
417,the magical dolphins of slovenia,0
418,connecticut considers a soda tax,0
419,civilization collapses,1
420,celebrity 'caught' smoking,1
421,your fafsa questions answered,0
422,photo of masked gunman released,1
423,the injustice of mandatory minimums,0
424,study: this descended from wolves,1
425,local man thinking about becoming asshole,1
426,ceo sad nobody noticed new tie,1
427,art object purchased at office depot,1
428,the entrepreneurial advantage,0
429,parole board swayed by reverse psychology,1
430,report: make it stop,1
431,another comedian ruined by parenthood,1
432,confusing insult awkwardly clarified,1
433,nbc announces fall cancellation lineup,1
434,skywriter leaves suicide note,1
435,artist starving for a reason,1
436,rookie nascar driver gets lost,1
437,mtv shifts focus to youth,1
438,finding the courage to confront depression,0
439,the overselling of ed tech,0
440,plastic bag still up in tree,1
441,raising a special child,0
442,the truth behind my travel photos,0
443,the challenge of grief,0
444,delighting in criticism,0
445,"broken windows, broken trust",0
446,american muslims and philanthropy,0
447,area man maps out drinking strategy,1
448,how to break your internet addiction,0
449,an uber for cuba?,0
450,holiday traditions: friendships,0
451,cuomo makes surprise afghanistan trip,0
452,perfect attendance credited to abusive household,1
453,mom has stacked dinner party roster,1
454,body donated to religion,1
455,the gift is giving,0
456,the government problem,0
457,bernie's wrecking crew,0
458,wedding dj could have anyone here,1
459,small town girl makes good porn,1
460,determined ant requires second flicking,1
461,shadow government attracts shadow protesters,1
462,40 symptoms of a healthy woman,0
463,the smart alice vote,0
464,chinese class clown executed,1
465,german auto engineer issued lab coat,1
466,clinton found alive,1
467,relationship definitely hurtling toward something,1
468,happy birthday america,0
469,slight inconvenience avoided,1
470,maxim skimmed,1
471,barry pepper getting by,1
472,when your life clicks into place,0
473,helicopter mating season begins,1
474,giant bass hates having picture taken,1
475,the tennis racket,0
476,darrell issa retiring from congress,0
477,limits or limitless?,0
478,the fellowship of the film,0
479,pentagon planning,0
480,a presidency under siege,0
481,loser friend sort of doing better,1
482,only two golden tickets remain,1
483,terrible idea committed to paper,1
484,put on your damn swimsuit,0
485,royal baby speaks first words,1
486,cost of paper,1
487,man use big word,1
488,first baby of 2010 finally born,1
489,podiatrist a jerk,1
490,"transgender heroes, yes!",0
491,breaking up with god,0
492,how to become a star,0
493,bolivia joins dopec,1
494,bird arthritis epidemic largely ignored,1
495,chicago out of names for subdivisions,1
496,reagan's body dies,1
497,man on horse hates city,1
498,coping with holiday grief,0
499,all about otters!,0
500,the everyday heroes of the hurricanes,0
501,spy world-famous,1
502,tennis ball brought on trip,1
503,february's hottest new releases,0
504,the secret of ugly sweater day,0
505,trump and the catholic schism,0
506,ted cruz wins idaho republican primary,0
507,wedding strains relationship to breaking point,1
508,collateral sorrow,0
509,permission denied,0
510,man proud of food he ordered,1
511,the south shall rise again,0
512,philanderer taken back,1
513,household death toll climbs to one,1
514,dare graduate celebrates first toke,1
515,obama takes shots at wnba champions,0
516,mommy not moving,1
517,office worker suddenly becomes sentient,1
518,success academy works for my kid,0
519,fiona apple releases egg sac,1
520,heroic goldfish given viking flushing,1
521,sunday roundup,0
522,three jews visit scandinavia,0
523,paramount pictures proudly shelves latest film,1
524,soda nearing room temperature,1
525,yo soy blanco,0
526,sunday roundup,0
527,bird has big plans for cage,1
528,the democrats' false choice,0
529,sea claims flip-flop,1
530,the nightmare of gaza continues,0
531,sierra leone burns down,1
532,the genius of chinese cooking,0
533,first holiday season without grandma incredible,1
534,building the university of the future,0
535,ceo has female sex organs,1
536,area man hurt,1
537,libertarian reluctantly calls fire department,1
538,how to swear like a local,0
539,fifth baby barely showered,1
540,fox voluntarily removes reality from programming,1
541,rodeo clown bleeding on the inside,1
542,"steve allen: gone, forgotten",1
543,jawa appointed secretary of transportation,1
544,rare quarter worth 26 cents,1
545,left behind,0
546,the ocean's gentle giant,0
547,there is nothing libertarian about conservatives,0
548,are you happy?,0
549,witty remark repeated throughout week,1
550,bratz movie accidentally released,1
551,pop stars to consolidate,1
552,understanding today's climate politics,0
553,hero financial officer saves 12 grand,1
554,deadly stampede in bangladesh kills 23,0
555,tpp is not the answer,0
556,man nods knowingly at mechanic,1
557,inanimate object despised,1
558,eddie vedder finally goes away,1
559,eyes removed in violent yearbook attack,1
560,beautiful nurse gives teen enema,1
561,conor walton: contemplating higher things,0
562,moses and the red sea,0
563,this teacher is weary,0
564,college freshman already loves it,1
565,child bored with christmas puppy,1
566,how to find work you love,0
567,city adds some big concrete stairs,1
568,sexual predator gets tenure,1
569,mueller ain't going away,0
570,hypothetical question clearly not hypothetical,1
571,area cockroach fucking huge,1
572,national defense strategy,0
573,royal baby already making new friends,1
574,dad ready to forgive dixie chicks,1
575,read live updates on irma,0
576,youtube reaches 1 trillion racist comments,1
577,couple always like this,1
578,mom gets last new hairstyle,1
579,the biggest celebrity fails of 2015,0
580,toenails regenerating,1
581,single mother hogging 2 jobs,1
582,syrian rebels shell aleppo after withdrawal,0
583,trusting in grace,0
584,climate science on trial again,0
585,model railroading a harsh mistress,1
586,older but still young at heart,0
587,"no climate justice, no peace",0
588,congress names very special prosecutor,1
589,bbc upgrades flap to row,1
590,opera ends on unexpected high note,1
591,to the princeton privileged kid,0
592,in defense of light and magic,0
593,the olympic hangover is real,0
594,an education revolution in one word,0
595,obama has colorado appraised,1
596,smoking ban collapses fragile prison economy,1
597,mlb announces new domestic violence policy,0
598,ferguson's easy answers,0
599,things my dad never did,0
600,"hugging up 76,000 percent",1
601,triumph of human engineering slept through,1
602,something sliding around in coffin,1
603,"vote, voter wasted",1
604,hillary clinton vs. herself,0
605,our new mother within,0
606,area man switches to backup lie,1
607,internet jokester strikes again,1
608,4 bold lip looks for spring,0
609,celebrating pro bono month,0
610,this obviously aliens' first abduction,1
611,bush dies peacefully in his sleep,1
612,mommy needs a nap,0
613,today we are all journalists,0
614,the importance of being collaborative,0
615,a valentine like no other,0
616,souls of wisdom,0
617,our american life,0
618,the sad mother's ring,0
619,rude guy unfortunately says something funny,1
620,growth potential,0
621,kidnapping going pretty smoothly,1
622,finding the common thread,0
623,jury finds defendant pretty,1
624,man has mosquito on the run,1
625,this was my story,0
626,plant dead because of you,1
627,not like most girls,0
628,on losing a friend,0
629,legendary broadcaster dies at 82,0
630,pope condemns violence against women,0
631,national association advances colored person,1
632,hotcake sales brisk,1
633,border patrol violence must stop,0
634,drink me now: tomatoes,0
635,other nurse thought it was funny,1
636,bush extremely proud of new suit,1
637,two americas for lgbt people,0
638,royal baby eats first meal,1
639,wonder woman save us all,0
640,area man demands more starches,1
641,area man proud of blood type,1
642,quake claims 500 hours,1
643,unreasonable happiness,0
644,dead ipod remembered as expensive,1
645,businessman takes power bath,1
646,what is a reverse mortgage?,0
647,queer teens take on tech,0
648,a little nonsense,0
649,why i love my mom jeans,0
650,astronomers admit they made neptune up,1
651,best burger restaurants in america,0
652,testing the teacher,0
653,mental health and nuclear weapons,0
654,california's golden healthcare opportunity,0
655,the gift of choice,0
656,ulysses and the hedge trimmer,0
657,prejudice does not discriminate,0
658,miracle baby born with job,1
659,daily meditation: spark creativity,0
660,top cute,1
661,my battle with depression and anxiety,0
662,an american in paris on broadway,0
663,escaping the higher education stockholm syndrome,0
664,willow rented,1
665,study: other countries weird,1
666,spring cleaning life hacks,0
667,sun dreading rising today,1
668,nascar bed bursts into flames,1
669,eggs good for you this week,1
670,you should love beyonce!,0
671,motherhood is an extreme sport,0
672,managing the restless millennial employee,0
673,adapting change to fit complexity,0
674,mother only wants one bite,1
675,ritalin cures next picasso,1
676,obama debuts annoying catchphrase,1
677,waiter seriously needs his apps,1
678,the power of perspective,0
679,nancy reagan available at 82,1
680,what refugees really want,0
681,the crocodile and the scorpion,0
682,weird gifts for a weird dad,0
683,area panties in a bunch,1
684,mutual selection process,0
685,nbc cancels csi,1
686,area man settled for,1
687,the dark history of birth control,0
688,smoke rings delighting newborn,1
689,white couple admires fall colors,1
690,conservative fury falls on ryan,0
691,a warm welcome in mumbai,0
692,man floating in bubble rescued,0
693,a time capsule of us,0
694,approved catcalls,0
695,report: you have won!,1
696,hot summer shows,0
697,hillary clinton threatened by black man,1
698,birthplace of president carter accidentally visited,1
699,college encourages lively exchange of idea,1
700,the two non-interventionists,0
701,grit: your secret success strategy,0
702,glasses are the new it accessory,0
703,nba free agency winners and losers,0
704,creationism banned from uk schools,0
705,mozambique out of toilet paper,1
706,podcast a cry for help,1
707,bill clinton starts own presidential school,1
708,10 ways to raise a reader,0
709,astronomers discover most distant galaxy yet,0
710,fat bottom girl,0
711,a pivotal law for nyc pets,0
712,local student also a poet,1
713,cubs eliminated from playoff contention,1
714,teens find this one hilarious store,1
715,crullers explained,1
716,gazebo underutilized,1
717,4 resolutions every runner should make,0
718,dad advice is the best advice,0
719,conference call going awesome,1
720,house gop crackdown continues,0
721,media suffering through record normal temperatures,1
722,things fall together,0
723,earth ranked number one party planet,1
724,roommate never seems to leave apartment,1
725,style replaces substance,1
726,elderly man hailed as alert,1
727,personnel director really enjoyed meeting you,1
728,employee owned and operated,1
729,girlfriend's dad pretty hot,1
730,police seek poorly drawn man,1
731,earth explodes,1
732,doing the santa wrap,0
733,i want to be that girl,0
734,the long fight for justice,0
735,activism is the new girl gang,0
736,the sanders phenomenon,0
737,gore mauled by aquatic mammal,1
738,bill cosby mug shot released,0
739,taste acquired,1
740,sacred sites,0
741,an epidemic of gun silence,0
742,why terrorists attack us,0
743,how not to defend the humanities,0
744,"attorney, client privileged",1
745,sunday roundup,0
746,farting teen sparks fight,0
747,the irony of intelligence,0
748,telling our medicine story,0
749,crisis and context for virgin galactic,0
750,living with hiv: my journey,0
751,10 communication secrets of great leaders,0
752,mooney beats casey,0
753,signature dominates sympathy card,1
754,trump voters blink,0
755,is ukraine fascist?,0
756,dad immediately hands phone to mom,1
757,too big to nail?,0
758,gore releases three more hostages,1
759,font too small,1
760,your dog died,1
761,men behaving badly,0
762,kiddie pool falls into disrepair,1
763,a reset button,0
764,rosemary kowalski: imagining beauty,0
765,super tuesday: live results,0
766,enormous grace slick threatens california coastline,1
767,"go west, young dan",0
768,guess who?!,0
769,teen parents skip prom,1
770,rudy's america,0
771,challenging the warsaw pact from within,0
772,owls are assholes,1
773,10 years of marriage equality,0
774,man breaks out dating boxers,1
775,how boredom can lead to failure,0
776,let the past be your teacher,0
777,english teacher obviously hung over,1
778,suspect cleans up real nice,1
779,daily meditation: by the riverside,0
780,the first gay president,0
781,holding universities accountable,0
782,couple doesn't deserve deck,1
783,girl slept with for her sake,1
784,ex-con back behind bar,1
785,man dies all by himself,1
786,you are enough,0
787,preview expiration test 2,0
788,compliment suspiciously vague,1
789,iraq declares partial law,1
790,watch the conventions,0
791,no more 'reconciliation' talk,0
792,how to survive an unpredictable winter,0
793,rant for the litter,0
794,medicare should cover hearing aids,0
795,second biggest opening in history,0
796,december's people,0
797,magna carta: awesome tale,0
798,pregnancy isn't always pretty,0
799,this. actually. happened.,0
800,meditation in the menopause,0
801,charles darwin and the sunmine,0
802,how to eat healthy while traveling,0
803,no velvet rope for healthcare abroad,0
804,drunken episode a repeat,1
805,fridge magnet pushed to limits,1
806,how to make feijoada,0
807,briefcase full of porn,1
808,starving for a fantasy,0
809,shareware fee paid,1
810,parenting in the time of viral,0
811,guinea pig returned for store credit,1
812,nepal calls: part two,0
813,a patriotic neighbor,0
814,an unexpected heirloom,0
815,how to pitch healthy living,0
816,remembering dina,0
817,taliban making military gains in afghanistan,0
818,recount reveals nader defeated,1
819,the invisible generation,0
820,stupid thing won't work,1
821,homeland security lifts trump travel ban,0
822,the parental blame game,0
823,thoughts on national airborne day,0
824,hometown boy makes good enough,1
825,scared of dying,0
826,cinema therapy and robin williams,0
827,republicans blame election losses on democrats,1
828,area man croatian?,1
829,i live in greece,0
830,royal baby born,1
831,gay bishop announces divorce,0
832,switzerland at the geffen playhouse,0
833,hair dyed back to original color,1
834,actual governing to resume,1
835,why america demonizes its teachers,0
836,how to overcome social comparison,0
837,to your health,0
838,acknowledge and move on,0
839,the things moms carry,0
840,strength to power,0
841,psychologists push for smartphone warning labels,0
842,ten days in june,0
843,sympathy card signed by assistant,1
844,challenging richard dawkins,0
845,crossing the axis of evil,0
846,princeton students protest protesters,0
847,couple forgets 70th wedding anniversary,1
848,public diplomacy in the pacific,0
849,pep talk laced with personal threats,1
850,grocery list depressing,1
851,gratitude for my pain,0
852,12 habits of genuine people,0
853,financial planner advises shorter life span,1
854,british girl exotic enough,1
855,bin laden returns to sea,1
856,the single american woman,0
857,pen pal becomes pen foe,1
858,palm tree fires off warning coconut,1
859,trump blows up statue of liberty,0
860,portugal finally gets it together,1
861,outkast universally accepted,1
862,capitol building dome deflates,1
863,power of pride,0
864,ladykiller gets life sentence,1
865,what's your upside,0
866,when area waitress gets a chance,1
867,more cats made,1
868,dream team wins small soft drink,1
869,altruism mocked,1
870,the fantastic faroe islands,0
871,mom really funny today,1
872,conceiving our chosen family,0
873,putting it together in 2015,0
874,celebrating my independence from drug addiction,0
875,what winning really means,0
876,area man misses rental car,1
877,a talk with fabio viviani,0
878,favorite stick brought inside,1
879,dress code cracked,1
880,parents also proud of unsuccessful child,1
881,nation healed by awesome sports highlight,1
882,microwave-resistant potato alarms scientists,1
883,area units really moving,1
884,will your foundation pass inspection?,0
885,town proud of water tower,1
886,"meanwhile, in the real world",0
887,man does good job getting drunk,1
888,"no shame, no future",0
889,state champs erect triumphal arch,1
890,confessions of a secret dog stalker,0
891,9 entrepreneurship lessons from the mountains,0
892,world's most innovative companies,0
893,clinton clinton,1
894,nasa reveals plans for new rover,0
895,crush lasts entire bus ride,1
896,success in relationships,0
897,dutch anti-defamation league closes,1
898,latest jihad has something for everyone,1
899,snow angel,0
900,you are where you eat,0
901,"divorce, life and reconciliation",0
902,faa to ban plane crashes,1
903,with great suit comes great responsibility,1
904,epa warns americans not to breathe,1
905,top 15 travel spots for 2015,0
906,a new what??,0
907,un quietly pushed into east river,1
908,terrorism is terrorism,0
909,ape's tits incredible,1
910,real valentines for exhausted parents,0
911,"my ""aunt hillary""",0
912,local burger feels especially disgusting today,1
913,what's your story?,0
914,npr host raises voice,1
915,fda recalls food,1
916,a flash of honesty,0
917,london life,0
918,they're coming!,0
919,clinton sold,1
920,hostage negotiation talks stall in congress,1
921,slower-burning flag introduced,1
922,the weaker becomes the stronger,0
923,fool me once,0
924,fire department deploys unmarked trucks,1
925,side effects sound awesome,1
926,area woman marries into health insurance,1
927,husband experimenting with open marriage,1
928,baby loses train of thought,1
929,will congressional nsa action matter?,0
930,the tim kaine i know,0
931,wrong font chosen for gravestone,1
932,she just wants a job,0
933,algerian dies of natural causes,1
934,the onion apologizes,1
935,snowman sucks,1
936,mars and venus in mental health,0
937,daddy hitting mommy again,1
938,loser older brother looked up to,1
939,local couple needs to talk,1
940,revisiting the iran deal,0
941,divest or double down?,0
942,5 gorgeous home office ideas,0
943,what to do about charlottesville,0
944,clinton reelected by wide margin,1
945,crucial steps to healthy hospital stays,0
946,28 secrets of exceptionally productive people,0
947,avoiding auto repair scams,0
948,islamic fundamentalists condemn casual day,1
949,hillary clinton vs. herself,0
950,love is humble,0
951,honest parents share their hilarious confessions,0
952,you have to love yourself first,0
953,cool ashtray found,1
954,somebody give this kid a trophy,0
955,presumed innocent. found dead.,0
956,report: spider,1
957,better skills for a new generation,0
958,the atheist and the nun,0
959,drought bad,1
960,puppy dies adorable death,1
961,receiving thanks,0
962,teenage gunfight with isis,0
963,dear 2017,0
964,area man likes food,1
965,"fuck, tampon scented",1
966,kerry takes frustration out on lobster,1
967,peterson given lifetime channel sentence,1
968,child disciplined for wasting yarn,1
969,fact repeated as urban legend,1
970,kimye is married,0
971,cbs laugh track threatens walkout,1
972,new low stooped to,1
973,hillary 2016: her personal brand,0
974,area christian forgives you,1
975,family spends relaxing weekend destroying outdoors,1
976,everything better now in oklahoma city,1
977,mindful mantras for teachers,0
978,warranty outlasts company,1
979,yoga for the heart,0
980,rescued baby bird wearing out welcome,1
